BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,1.436363636,0.042174587,0.00249847,0.130805237,-0.020077883,0.043656564,0.122732763,0.01268505,0.296080701,-0.005697423,0.243008035,0.00289868,-0.277010305,-0.025278043,0.221880365,0.090532088,-0.001744275,-0.013511541,0.963968511,-0.014341307,-0.002283063,-0.009744898,0.163092032,-0.002632712,-0.002758926,0.168291757,0.210792002,-0.005909522,-0.00342403,0.058435985,-0.010488924,5.82299E-05
BR1_main,1.556060606,0.04217116,0.002022328,0.130327267,-0.01967976,0.023589781,0.136313919,0.011731772,0.270278156,-0.005029576,0.231367282,0.002507383,-0.25349974,-0.007375787,0.241233243,0.082210734,-0.002535707,-0.013817386,1.054968004,-0.014953072,-0.00248255,-0.009226722,0.145999548,-0.003132952,-0.001925844,0.092313358,0.16248995,-0.006785247,-0.003104399,0.055095273,-0.008979768,5.41236E-05
BR1_main,1.675757576,0.042133741,0.001511333,0.153804819,-0.018531908,0.011172685,0.123880857,0.010464427,0.238405755,-0.004460642,0.215817176,0.002104773,-0.24142016,-0.007170126,0.21585336,0.077559216,-0.003337105,-0.012812957,0.959868744,-0.015403352,-0.003017496,-0.008523628,0.128213896,-0.003970437,-0.001917815,0.042174412,0.162821231,-0.007251316,-0.003605438,0.039450597,-0.005526273,5.1047E-05
BR1_main,1.795454545,0.042061578,0.001283036,0.182570225,-0.017058242,-0.008764311,0.105669876,0.010361815,0.209969438,-0.003982882,0.178585118,0.001755441,-0.222857374,-0.033030062,0.137859516,0.072891134,-0.004064898,-0.012093439,0.741996377,-0.014556118,-0.003597879,-0.008034891,0.109509624,-0.004689017,-0.001759562,-0.005618744,0.114213618,-0.007422037,-0.003495228,0.020415819,-0.00502419,4.7879E-05
BR1_main,1.915151515,0.041959038,0.001108904,0.196515978,-0.015766304,0.009339923,0.083747929,0.009874221,0.1024175,-0.004058401,0.160181897,0.001475076,-0.206378315,-0.076374214,0.056493646,0.066283125,-0.004692828,-0.011271504,0.589408844,-0.01393045,-0.00423621,-0.007669111,0.093890385,-0.005453584,-0.001433557,-0.030459832,0.067966541,-0.006531428,-0.002857315,0.009085881,-0.006188785,4.73785E-05
BR1_main,2.034848485,0.041879802,0.001039176,0.163170468,-0.014441872,0.026596038,0.059164615,0.008907439,0.062124251,-0.003994054,0.140380927,0.001321771,-0.192503271,-0.118553034,0.037548386,0.056665481,-0.005204262,-0.010286484,0.514408014,-0.014353477,-0.005795494,-0.00737363,0.079815133,-0.005848327,-0.001017704,-0.039560995,0.023929111,-0.008059928,-0.002555873,0.001985342,-0.006903263,4.5311E-05
BR1_main,2.154545455,0.041724047,0.000944752,0.148057634,-0.013329988,0.076597712,0.025604203,0.008784359,0.045582622,-0.003675515,0.123797943,0.00117945,-0.182921607,-0.106278402,0.042674067,0.049150323,-0.005589695,-0.009839221,0.368082416,-0.014759198,-0.007455652,-0.007116537,0.065577169,-0.006349217,-0.000890139,-0.044836337,-0.003968869,-0.009538924,-0.00269819,0.000771083,-0.007378978,4.41094E-05
BR1_main,2.274242424,0.041489815,0.000843551,0.133507938,-0.012411085,0.072221046,0.013654835,0.006776317,0.029055741,-0.003369529,0.105702574,0.000991865,-0.176690343,-0.062785547,0.085390804,0.042037196,-0.005721242,-0.009933777,0.232169041,-0.015357647,-0.008496854,-0.006854422,0.053451833,-0.006755797,-0.00092166,-0.046545353,-0.014446665,-0.010693957,-0.002239544,-0.001013144,-0.008782715,4.46585E-05
BR1_main,2.393939394,0.041300917,0.000739268,0.097446133,-0.011247264,0.076991391,0.004699554,0.006064494,0.020601076,-0.002869651,0.096048804,0.000910277,-0.17304606,-0.035118328,0.148226208,0.042597648,-0.005789893,-0.01011143,0.200550069,-0.016043027,-0.008736913,-0.006604169,0.04107499,-0.007015964,-0.001060834,-0.045174853,-0.019872392,-0.01075249,-0.002015193,-0.002784376,-0.009577225,4.57118E-05
BR1_main,2.513636364,0.041047547,0.000636959,0.071157991,-0.010051331,0.038366912,0.001986689,0.005621526,0.013483684,-0.002772845,0.087107164,0.000815159,-0.171270699,-0.018542872,0.136192326,0.043270142,-0.005729424,-0.010240787,0.157395205,-0.016564988,-0.009680414,-0.006381002,0.029103707,-0.006969567,-0.001339784,-0.044778377,-0.015910917,-0.010562518,-0.001936366,-0.003265625,-0.010653402,4.7098E-05
