BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,1.316666667,0.039681314,-0.009850941,0.018641749,-0.038112413,-0.241444955,-0.056978457,-0.028177048,-0.172679962,-0.022814852,-0.253073651,0.000487319,-0.569130281,-0.291756131,-0.383805945,0.007022566,-0.008267244,-0.038831316,0.323391595,-0.048892343,-0.037132405,-0.018079412,0.120819757,-0.023411357,-0.057768301,-0.289618281,-0.25069427,-0.033829286,-0.011059331,-0.036119694,-0.045310207,7.61817E-06
BR1_main,1.436363636,0.03963369,-0.007498959,0.021921259,-0.037115583,-0.237857943,-0.060279856,-0.019993263,-0.146139716,-0.020540334,-0.264324584,0.000617659,-0.518036124,-0.329401966,-0.552023657,0.006516154,-0.008363713,-0.033857706,0.319668003,-0.043263717,-0.0320881,-0.016403037,0.092076889,-0.021976643,-0.036854386,-0.306026895,-0.26022368,-0.030439746,-0.012148355,-0.033236655,-0.040303949,6.52669E-06
BR1_main,1.556060606,0.039545567,-0.005436323,0.022046212,-0.035161285,-0.208849522,-0.062997744,-0.021416536,-0.123891466,-0.01926032,-0.242548892,0.000520845,-0.472205863,-0.367491053,-0.498079327,0.006207725,-0.008102661,-0.030872346,0.321293694,-0.039980258,-0.029150203,-0.015606866,0.057174548,-0.020737177,-0.028450327,-0.265249427,-0.237074,-0.028081206,-0.012531086,-0.030962918,-0.03965109,7.26408E-06
BR1_main,1.675757576,0.039438249,-0.004379252,0.018801439,-0.032803955,-0.17847904,-0.078925891,-0.021133491,-0.105310361,-0.017541767,-0.168925485,0.0004307,-0.434504067,-0.367415288,-0.468494006,0.007335413,-0.00795935,-0.028781134,0.29273936,-0.036764468,-0.027525024,-0.014982702,0.037565053,-0.019589132,-0.025318378,-0.225402514,-0.194345286,-0.026813072,-0.012063779,-0.028209863,-0.040878212,7.83893E-06
BR1_main,1.795454545,0.039380006,-0.003789727,0.022962272,-0.030422993,-0.148748082,-0.080126121,-0.017495571,-0.097358156,-0.016365784,-0.105321351,0.000280275,-0.400574552,-0.322236356,-0.373303893,0.010154315,-0.007954628,-0.027786971,0.255638761,-0.034469608,-0.026389428,-0.014178826,0.026413544,-0.018293618,-0.022789153,-0.18444058,-0.149426851,-0.025793427,-0.011195506,-0.025718757,-0.039383843,7.56631E-06
BR1_main,1.915151515,0.039275348,-0.003068303,0.013787562,-0.028356052,-0.116101999,-0.065263426,-0.011233398,-0.089902346,-0.015239453,-0.077572366,4.59775E-05,-0.37059551,-0.252224195,-0.305765576,0.013871652,-0.007891418,-0.027408813,0.147200916,-0.032806843,-0.025419172,-0.013254482,0.019221699,-0.016888501,-0.02034808,-0.144877056,-0.121097495,-0.024806204,-0.009195088,-0.023709389,-0.042675764,8.57153E-06
BR1_main,2.034848485,0.039103085,-0.002469118,0.009373968,-0.02598387,-0.100167234,-0.052016317,-0.008518665,-0.080811514,-0.014429316,-0.040564696,-0.000110714,-0.343945985,-0.196760962,-0.22532345,0.015445708,-0.007754504,-0.026605635,0.06871051,-0.031784165,-0.025191424,-0.01239404,0.013518645,-0.015665107,-0.018885066,-0.118818998,-0.100369064,-0.024555454,-0.009347856,-0.021985815,-0.042337203,1.02122E-05
BR1_main,2.154545455,0.038797748,-0.002210806,0.006733121,-0.023339147,-0.10308031,-0.076195018,-0.007486872,-0.077728871,-0.013813556,-0.009561209,-0.000246131,-0.319515912,-0.180254832,-0.150945343,0.014304121,-0.007734596,-0.025456968,0.038494025,-0.03124777,-0.02433146,-0.011634834,0.008992198,-0.014616479,-0.018101904,-0.108961265,-0.092227469,-0.024052241,-0.008621324,-0.019957972,-0.040611515,1.27218E-05
BR1_main,2.274242424,0.038330227,-0.001952533,0.008826845,-0.021015866,-0.119959372,-0.077521608,-0.004639361,-0.079735785,-0.01335536,0.003017813,-0.000162213,-0.297098577,-0.15843062,-0.078368228,0.012423032,-0.007609787,-0.023824184,0.017404036,-0.030193171,-0.022980382,-0.010926711,0.005415655,-0.013786311,-0.021653513,-0.095705035,-0.085828859,-0.024083973,-0.00772241,-0.020466235,-0.035381268,1.48963E-05
BR1_main,2.393939394,0.037706588,-0.001800639,0.001982285,-0.019195843,-0.123349057,-0.080434297,-0.003533843,-0.067546873,-0.013036236,0.008790114,-1.85396E-05,-0.276544946,-0.123358095,-0.063683196,0.013205232,-0.007490299,-0.022357219,-0.021326369,-0.029725005,-0.023809764,-0.010256303,0.001988525,-0.013060954,-0.025785089,-0.088766306,-0.088867244,-0.024550408,-0.007330454,-0.017501986,-0.030176056,1.73491E-05
