Time (days) -->,0.0001,0.0003,0.0007,0.0015,0.0031,0.0063,0.0127,0.0255,0.0511,0.1023,0.169079043,0.237564768,0.308342503,0.381540503,0.457319078,0.535842039,0.617291525,0.701863767,0.789781065,0.881256659,0.976528767,1.075845025,1.179458434,1.287640577,1.400605397,1.518557414,1.641644219,1.769927158,1.903345929,2.041682998,2.184536159,2.331310209,2.481237093,2.633426414,2.786937009,2.88954685,2.991874695,3.093728597,3.19492737,3.29531575,3.394762795,3.493159665,3.590417177,3.686463372,3.781241249,3.874706716,3.9668268,4.057578098,4.14694544,4.23500066,4.321659981,4.406925768,4.490806167,4.573313244,4.654462434,4.734272137,4.812763107,4.889958295,4.965882457,5.040561866,5.11402406,5.186297606,5.257411898,5.327397655,5.396284654,5.464103719,5.530885873,5.596686343,5.661510382,5.725388707,5.788377763,5.850490646,5.911746279,5.972174511,6.031804803,6.090666034,6.148786461,6.206193698,6.262914685,6.318975673,6.374402213,6.429219137,6.483450559,6.537119869,6.590249731,6.642862087,6.694978162,6.746618469,6.79780282,6.848550336,6.898879933,6.948808834,6.998354164,7.047532421,7.096359477,7.144850604,7.193020487,7.240883237,7.288452421,7.335741066,7.382761686,7.429526293,7.476046422,7.522333141,7.568397072,7.614248407,7.659896925,7.705352003,7.75062264,7.795718142,7.840646039,7.885414272,7.930030459,7.974501903,8.018835612,8.063038304,8.108368214,8.154693911,8.202062739,8.250522547,8.300122176,8.350913511,8.402953148,8.456301686,8.511024129,8.567193193,8.624880878,8.684168159,8.745142296,8.807897566,8.872535925,8.939167817,9.00791302,9.078901566,9.152274754,9.228186214,9.306803025,9.388306842,9.472894959,9.560781241,9.652196714,9.747389631,9.846624633,9.950180481,10.05834568,10.171411,10.28965782,10.41334089,10.54266476,10.6777537,10.81861719,10.96511638,11.11694024,11.27360216,11.43446485,11.59879288,11.7658214,11.93482302,12.10515692,12.27629371,12.44781817,12.56221793,12.67651265,12.79067363,12.90466477,13
PRO1x,7.926047999,7.926993944,7.928885128,7.932664671,7.940212483,7.955263132,7.98518559,8.04432347,8.159836021,8.380302903,8.690941985,9.009151474,9.300133192,9.564606116,9.805568645,10.02613203,10.22772992,10.28182335,10.27247933,10.26302506,10.25344439,10.2437148,10.23380782,10.22368796,10.2133098,10.20262282,10.19156432,10.18006099,10.1680287,10.15537315,10.14199135,10.12777418,10.11260947,10.09638502,10.07899084,10.06035175,10.04710829,10.03323969,10.01871505,10.00350555,9.987582497,9.970917508,9.953482611,9.935250432,9.916194375,9.896288808,9.87550925,9.853832559,9.831237107,9.807702954,9.783189289,9.757700843,9.731224002,9.703747163,9.675261197,9.645759588,9.615238514,9.583697024,9.551137038,9.517563433,9.482984078,9.447409853,9.410854642,9.373335301,9.334871222,9.295485405,9.255203219,9.214052659,9.172048484,9.113138493,9.023472562,8.934660833,8.846750825,8.759781038,8.673778417,8.588769793,8.50478159,8.421839425,8.339967778,8.259189705,8.179526612,8.100998079,8.023621711,7.947413046,7.872385485,7.798550254,7.725916394,7.654490777,7.584278138,7.509904086,7.43673028,7.364791957,7.294087526,7.224613232,7.156363843,7.08933272,7.023511869,6.958892018,6.895462691,6.833212283,6.772128151,6.712196687,6.653403411,6.595733046,6.539169608,6.483696486,6.429296517,6.375952069,6.323645114,6.27235718,6.222069138,6.172762915,6.124419571,6.07702009,6.030545445,3.46363558,3.506852947,3.548012638,3.587111229,3.624230185,3.659443048,3.692817216,3.724415631,3.754297194,3.759588293,3.762043198,3.76442923,3.766739006,3.768965277,3.771100828,3.7731385,3.77507121,3.776891969,3.778593904,3.780170269,3.781614468,3.782920066,3.784080811,3.785090646,3.785943736,3.786634488,3.787157587,3.787508043,3.787681254,3.787673103,3.787480096,3.787099551,3.786529874,3.785770926,3.784824485,3.78369482,3.782389286,3.78091886,3.779298414,3.777546548,3.775684836,3.773736537,3.771725017,3.769672263,3.767597787,3.765518069,3.763458591,3.76208653,3.760726188,3.759379242,3.758051145
FAH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAS100ACP,5.731437976,5.731427737,5.731407258,5.731366302,5.731284393,5.731120589,5.730793039,5.730138176,5.728829445,5.726216324,5.720979007,5.714220411,5.707422312,5.700539095,5.69357268,5.686521419,5.679382709,5.67215125,5.664819092,5.657374117,5.649802477,5.642084821,5.634196684,5.626107604,5.617778589,5.609166287,5.600217034,5.590868231,5.581048185,5.570676698,5.559666463,5.547925266,5.535358695,5.521872765,5.507375799,5.49177612,5.480695916,5.469079528,5.456901497,5.444138081,5.430765655,5.416760787,5.402100364,5.386761729,5.370722836,5.353962406,5.336460088,5.31819662,5.299153978,5.279315533,5.258647004,5.237152499,5.214820632,5.191641688,5.16760802,5.142714167,5.116956924,5.090335494,5.06285149,5.034509012,5.005314675,4.975277628,4.944409549,4.912724621,4.880239165,4.846972544,4.812946121,4.778183469,4.742696998,4.706527641,4.66970506,4.63224489,4.59418922,4.555578751,4.51644862,4.476834814,4.43677408,4.396303733,4.355461474,4.314285206,4.27281286,4.23108223,4.189130806,4.146995632,4.104713161,4.062319132,4.019848447,3.977335073,3.934811946,3.89231089,3.84986255,3.807495933,3.765239632,3.723120459,3.681163877,3.639393994,3.597833554,3.556503942,3.515425191,3.474615995,3.43409374,3.393874525,3.353973197,3.314403387,3.275177553,3.236307021,3.197802029,3.159671782,3.121924495,3.084567444,3.047606463,3.011047735,2.974896034,2.939155405,2.903829219,0.161153872,0.162912718,0.164658559,0.166380524,0.168074873,0.1697377,0.171364964,0.172952571,0.174496428,0.175992409,0.177436368,0.178824221,0.18015172,0.181414715,0.18260906,0.183730633,0.184775334,0.185739095,0.186617884,0.187407709,0.188104622,0.188704722,0.18920416,0.189599143,0.18988594,0.190060891,0.190120428,0.190061093,0.189879587,0.189572826,0.189138042,0.188572915,0.18787578,0.187045897,0.186083812,0.184991788,0.183774289,0.182438413,0.18099415,0.179454311,0.177834015,0.176149758,0.174418248,0.172655283,0.170874916,0.169089025,0.167310731,0.166128269,0.164953635,0.163787976,0.162633525
FAS140ACP,5.731437976,5.731427737,5.731407258,5.731366302,5.731284393,5.731120589,5.730793039,5.730138176,5.728829445,5.726216324,5.720979007,5.714220411,5.707422312,5.700539095,5.69357268,5.686521419,5.679382709,5.67215125,5.664819092,5.657374117,5.649802477,5.642084821,5.634196684,5.626107604,5.617778589,5.609166287,5.600217034,5.590868231,5.581048185,5.570676698,5.559666463,5.547925266,5.535358695,5.521872765,5.507375799,5.49177612,5.480695916,5.469079528,5.456901497,5.444138081,5.430765655,5.416760787,5.402100364,5.386761729,5.370722836,5.353962406,5.336460088,5.31819662,5.299153978,5.279315533,5.258647004,5.237152499,5.214820632,5.191641688,5.16760802,5.142714167,5.116956924,5.090335494,5.06285149,5.034509012,5.005314675,4.975277628,4.944409549,4.912724621,4.880239165,4.846972544,4.812946121,4.778183469,4.742696998,4.706527641,4.66970506,4.63224489,4.59418922,4.555578751,4.51644862,4.476834814,4.43677408,4.396303733,4.355461474,4.314285206,4.27281286,4.23108223,4.189130806,4.146995632,4.104713161,4.062319132,4.019848447,3.977335073,3.934811946,3.89231089,3.84986255,3.807495933,3.765239632,3.723120459,3.681163877,3.639393994,3.597833554,3.556503942,3.515425191,3.474615995,3.43409374,3.393874525,3.353973197,3.314403387,3.275177553,3.236307021,3.197802029,3.159671782,3.121924495,3.084567444,3.047606463,3.011047735,2.974896034,2.939155405,2.903829219,0.161153872,0.162912718,0.164658559,0.166380524,0.168074873,0.1697377,0.171364964,0.172952571,0.174496428,0.175992409,0.177436368,0.178824221,0.18015172,0.181414715,0.18260906,0.183730633,0.184775334,0.185739095,0.186617884,0.187407709,0.188104622,0.188704722,0.18920416,0.189599143,0.18988594,0.190060891,0.190120428,0.190061093,0.189879587,0.189572826,0.189138042,0.188572915,0.18787578,0.187045897,0.186083812,0.184991788,0.183774289,0.182438413,0.18099415,0.179454311,0.177834015,0.176149758,0.174418248,0.172655283,0.170874916,0.169089025,0.167310731,0.166128269,0.164953635,0.163787976,0.162633525
FAS160ACP,1.44E-03,1.44E-03,1.44E-03,1.44E-03,1.44E-03,1.45E-03,1.46E-03,1.49E-03,1.54E-03,1.63E-03,0.001789593,0.001968229,0.002144847,0.002320423,0.002495056,0.002668863,0.002841945,0.00301442,0.003186433,0.003358163,0.003529805,0.003701625,0.00387396,0.004047236,0.004221993,0.004398833,0.004578521,0.00476196,0.004950198,0.005144428,0.005345974,0.005556266,0.005776807,0.00600914,0.006254819,0.006512353,0.006695662,0.006886466,0.007085229,0.007292382,0.007508356,0.007733571,0.00796844,0.008213364,0.008468728,0.008734902,0.009012236,0.00930106,0.009601679,0.009914374,0.010239697,0.010577597,0.010928262,0.011291853,0.011668494,0.012058275,0.012461248,0.012877427,0.013306786,0.013749258,0.014204737,0.014673077,0.015154092,0.015647554,0.016153204,0.016670735,0.017199807,0.017740046,0.018291253,0.018852784,0.01942417,0.020005163,0.020595101,0.021193347,0.021799347,0.022412539,0.023032346,0.023658185,0.024289466,0.024925597,0.025565986,0.026210046,0.026857191,0.027506847,0.028158447,0.028811437,0.029465275,0.030119437,0.030773412,0.031426709,0.032078855,0.032729405,0.033377917,0.03402398,0.034667204,0.035307218,0.035943676,0.036576251,0.037204638,0.037828553,0.038447732,0.039061932,0.039670927,0.040274515,0.040872507,0.041464735,0.042051047,0.042631306,0.043205391,0.043773196,0.044334638,0.044889627,0.045438096,0.045979987,0.046515256,0.088916696,0.088889312,0.0888619,0.088834621,0.08880753,0.08878068,0.088754129,0.088727933,0.088702149,0.088676833,0.088652041,0.088627828,0.088604251,0.088581364,0.088559219,0.08853787,0.088517367,0.088497758,0.088479092,0.088461413,0.088444764,0.088429187,0.088414718,0.088401394,0.088389246,0.088378302,0.088368588,0.088360123,0.088352924,0.088347002,0.088342359,0.088338994,0.088336894,0.088336036,0.088336386,0.088337892,0.088340485,0.088344075,0.088348549,0.08835377,0.088359586,0.08836583,0.088372338,0.088378952,0.08838553,0.088391952,0.088401613,0.088405569,0.088409351,0.088412945,0.088417489
FAS180ACP,1.44E-03,1.44E-03,1.44E-03,1.44E-03,1.44E-03,1.45E-03,1.46E-03,1.49E-03,1.54E-03,1.63E-03,0.001789593,0.001968229,0.002144847,0.002320423,0.002495056,0.002668863,0.002841945,0.00301442,0.003186433,0.003358163,0.003529805,0.003701625,0.00387396,0.004047236,0.004221993,0.004398833,0.004578521,0.00476196,0.004950198,0.005144428,0.005345974,0.005556266,0.005776807,0.00600914,0.006254819,0.006512353,0.006695662,0.006886466,0.007085229,0.007292382,0.007508356,0.007733571,0.00796844,0.008213364,0.008468728,0.008734902,0.009012236,0.00930106,0.009601679,0.009914374,0.010239697,0.010577597,0.010928262,0.011291853,0.011668494,0.012058275,0.012461248,0.012877427,0.013306786,0.013749258,0.014204737,0.014673077,0.015154092,0.015647554,0.016153204,0.016670735,0.017199807,0.017740046,0.018291253,0.018852784,0.01942417,0.020005163,0.020595101,0.021193347,0.021799347,0.022412539,0.023032346,0.023658185,0.024289466,0.024925597,0.025565986,0.026210046,0.026857191,0.027506847,0.028158447,0.028811437,0.029465275,0.030119437,0.030773412,0.031426709,0.032078855,0.032729405,0.033377917,0.03402398,0.034667204,0.035307218,0.035943676,0.036576251,0.037204638,0.037828553,0.038447732,0.039061932,0.039670927,0.040274515,0.040872507,0.041464735,0.042051047,0.042631306,0.043205391,0.043773196,0.044334638,0.044889627,0.045438096,0.045979987,0.046515256,0.088916696,0.088889312,0.0888619,0.088834621,0.08880753,0.08878068,0.088754129,0.088727933,0.088702149,0.088676833,0.088652041,0.088627828,0.088604251,0.088581364,0.088559219,0.08853787,0.088517367,0.088497758,0.088479092,0.088461413,0.088444764,0.088429187,0.088414718,0.088401394,0.088389246,0.088378302,0.088368588,0.088360123,0.088352924,0.088347002,0.088342359,0.088338994,0.088336894,0.088336036,0.088336386,0.088337892,0.088340485,0.088344075,0.088348549,0.08835377,0.088359586,0.08836583,0.088372338,0.088378952,0.08838553,0.088391952,0.088401613,0.088405569,0.088409351,0.088412945,0.088417489
FAS80ACP_L,5.731437976,5.731427737,5.731407258,5.731366302,5.731284393,5.731120589,5.730793039,5.730138176,5.728829445,5.726216324,5.720979007,5.714220411,5.707422312,5.700539095,5.69357268,5.686521419,5.679382709,5.67215125,5.664819092,5.657374117,5.649802477,5.642084821,5.634196684,5.626107604,5.617778589,5.609166287,5.600217034,5.590868231,5.581048185,5.570676698,5.559666463,5.547925266,5.535358695,5.521872765,5.507375799,5.49177612,5.480695916,5.469079528,5.456901497,5.444138081,5.430765655,5.416760787,5.402100364,5.386761729,5.370722836,5.353962406,5.336460088,5.31819662,5.299153978,5.279315533,5.258647004,5.237152499,5.214820632,5.191641688,5.16760802,5.142714167,5.116956924,5.090335494,5.06285149,5.034509012,5.005314675,4.975277628,4.944409549,4.912724621,4.880239165,4.846972544,4.812946121,4.778183469,4.742696998,4.706527641,4.66970506,4.63224489,4.59418922,4.555578751,4.51644862,4.476834814,4.43677408,4.396303733,4.355461474,4.314285206,4.27281286,4.23108223,4.189130806,4.146995632,4.104713161,4.062319132,4.019848447,3.977335073,3.934811946,3.89231089,3.84986255,3.807495933,3.765239632,3.723120459,3.681163877,3.639393994,3.597833554,3.556503942,3.515425191,3.474615995,3.43409374,3.393874525,3.353973197,3.314403387,3.275177553,3.236307021,3.197802029,3.159671782,3.121924495,3.084567444,3.047606463,3.011047735,2.974896034,2.939155405,2.903829219,0.161153872,0.162912718,0.164658559,0.166380524,0.168074873,0.1697377,0.171364964,0.172952571,0.174496428,0.175992409,0.177436368,0.178824221,0.18015172,0.181414715,0.18260906,0.183730633,0.184775334,0.185739095,0.186617884,0.187407709,0.188104622,0.188704722,0.18920416,0.189599143,0.18988594,0.190060891,0.190120428,0.190061093,0.189879587,0.189572826,0.189138042,0.188572915,0.18787578,0.187045897,0.186083812,0.184991788,0.183774289,0.182438413,0.18099415,0.179454311,0.177834015,0.176149758,0.174418248,0.172655283,0.170874916,0.169089025,0.167310731,0.166128269,0.164953635,0.163787976,0.162633525
KAS8,0.017260919,0.017265679,0.017275197,0.017294227,0.017332258,0.017408209,0.017559666,0.017860821,0.018456248,0.019620772,0.02147925,0.023623294,0.025743107,0.027850426,0.029946431,0.032032514,0.034109894,0.036179997,0.038244543,0.040305704,0.042365798,0.04442804,0.046496462,0.048576169,0.050673651,0.052796145,0.05495282,0.057154507,0.059413798,0.061745009,0.064164026,0.066688011,0.069335013,0.072123547,0.075072252,0.078163264,0.080363388,0.08265348,0.085039087,0.08752541,0.090117592,0.092820694,0.095639664,0.098579311,0.101644269,0.104838972,0.108167625,0.111634178,0.115242299,0.118995358,0.122899991,0.12695557,0.13116436,0.135528283,0.140048845,0.144727118,0.149563728,0.154558835,0.159712125,0.165022809,0.170489612,0.176110775,0.181884058,0.187806746,0.193875717,0.200087278,0.206437361,0.212921473,0.219537228,0.226276896,0.23313485,0.240108102,0.247188724,0.25436905,0.261642458,0.269002174,0.27644129,0.283952796,0.291529621,0.299164661,0.306850814,0.314581013,0.322348254,0.330145624,0.337966327,0.345803709,0.353651278,0.361502723,0.369351931,0.377193004,0.385020268,0.392828361,0.400612003,0.408366251,0.416086417,0.423768069,0.431407033,0.438999394,0.446541488,0.454029905,0.46146148,0.46883329,0.476142647,0.483387089,0.490564376,0.497672479,0.504709568,0.511674013,0.518564361,0.525379338,0.532117935,0.538779082,0.545361968,0.551865916,0.558290376,1.067205472,1.066876805,1.066547791,1.066220388,1.065895229,1.065572972,1.065254295,1.064939882,1.064630412,1.06432656,1.064029003,1.063738394,1.063455414,1.063180712,1.062914929,1.06265869,1.062412602,1.062177256,1.061953216,1.061741028,1.061541206,1.06135424,1.061180585,1.061020661,1.060874853,1.060743503,1.060626909,1.060525315,1.060438913,1.060367827,1.060312107,1.060271715,1.060246507,1.060236215,1.060240412,1.06025849,1.060289616,1.060332704,1.060386396,1.060449065,1.060518865,1.060593816,1.060671926,1.060751303,1.060830254,1.060907331,1.061023287,1.061070771,1.061116159,1.061159301,1.061213842
ACCOAC,34.51376869,34.51374176,34.5136879,34.51358013,34.5133644,34.51293221,34.51206497,34.51031915,34.50678358,34.49954759,34.48159757,34.45659021,34.43117016,34.40514882,34.37854627,34.3513627,34.32359134,34.29521073,34.26618566,34.23645912,34.20596486,34.17461008,34.14227722,34.10882052,34.07405307,34.03776724,33.9997075,33.95957681,33.91703629,33.87170854,33.82318488,33.77103647,33.71482768,33.65412884,33.58852502,33.51733662,33.4668062,33.41371093,33.35793828,33.29938351,33.23794214,33.17351029,33.10598516,33.03526564,32.96125308,32.88385194,32.80297061,32.71852215,32.630425,32.53860383,32.44290105,32.34333677,32.2398591,32.13242367,32.02099552,31.90554965,31.78607139,31.66255709,31.53501417,31.40346151,31.26792954,31.12846042,30.98510798,30.83793761,30.68702462,30.53245842,30.37433767,30.21277126,30.04781634,29.87966247,29.70844682,29.53424154,29.3572417,29.1776359,28.99558697,28.81126172,28.62483055,28.43646653,28.24634459,28.05464065,27.86153082,27.66719061,27.47179419,27.2755137,27.0785186,26.88097507,26.68304546,26.48488781,26.28665543,26.08849649,25.89055375,25.69296234,25.49585557,25.29935845,25.10358979,24.9086621,24.71468159,24.52174817,24.32995548,24.13939097,23.950136,23.76226597,23.57585049,23.39095349,23.20763347,23.02594368,22.8459323,22.6676427,22.49111367,22.31637962,22.14346824,21.97240887,21.80322427,21.63593381,21.47055372,8.704111623,8.71228188,8.720371585,8.728329725,8.736138434,8.743779047,8.751232237,8.758478405,8.765497898,8.772270872,8.778777352,8.784997569,8.790910971,8.796497365,8.801736526,8.80660824,8.811092324,8.815168636,8.818817096,8.822017687,8.82475047,8.826995573,8.828733208,8.829943667,8.830607348,8.830704778,8.830216689,8.829124132,8.827408686,8.825052752,8.822040077,8.81835647,8.813990912,8.808936995,8.803194911,8.796773827,8.789694499,8.781991634,8.773715317,8.764930632,8.755714902,8.746152753,8.736329988,8.726327675,8.716217861,8.706061326,8.696232232,8.689481723,8.682762973,8.676081792,8.669550509
BMTer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
